pair,signal_date,entry_date,exit_date,bars_held,R,raw_entry,entry,exit,stop,target,ATR14,risk,friction,exit_reason,ADX14,open_at_end
EURUSD,1995-02-10,1995-02-13,1995-02-16,4,2.0000000000,1.2417000000,1.2418500000,1.2573924323,1.2340787838,1.2573924323,0.0077712162,0.0077712162,0.0001500000,target,,0
EURUSD,1995-03-31,1995-04-03,1995-04-10,6,-1.0000000000,1.3270000000,1.3271500000,1.3105082615,1.3105082615,1.3604334769,0.0166417385,0.0166417385,0.0001500000,stop,,0
EURUSD,1995-04-13,1995-04-14,1995-05-11,20,-1.0000000000,1.3288000000,1.3289500000,1.3124066398,1.3124066398,1.3620367205,0.0165433602,0.0165433602,0.0001500000,stop,,0
EURUSD,1995-06-29,1995-06-30,1995-07-11,8,-1.0000000000,1.3329000000,1.3330500000,1.3194591824,1.3194591824,1.3602316353,0.0135908176,0.0135908176,0.0001500000,stop,,0
EURUSD,1995-07-13,1995-07-14,1995-08-08,18,-1.0000000000,1.3313000000,1.3314500000,1.3197388071,1.3197388071,1.3548723858,0.0117111929,0.0117111929,0.0001500000,stop,,0
EURUSD,1996-08-21,1996-08-22,1996-08-22,1,-1.0000000000,1.2681000000,1.2682500000,1.2610195295,1.2610195295,1.2827109410,0.0072304705,0.0072304705,0.0001500000,stop,,0
EURUSD,1996-08-23,1996-08-26,1996-09-03,7,-1.0000000000,1.2723000000,1.2724500000,1.2647681147,1.2647681147,1.2878137706,0.0076818853,0.0076818853,0.0001500000,stop,,0
EURUSD,1996-09-04,1996-09-05,1996-09-06,2,-1.0000000000,1.2736000000,1.2737500000,1.2666054014,1.2666054014,1.2880391972,0.0071445986,0.0071445986,0.0001500000,stop,,0
EURUSD,1998-05-20,1998-05-21,1998-05-27,5,-1.0000000000,1.1137000000,1.1138500000,1.1063363484,1.1063363484,1.1288773031,0.0075136516,0.0075136516,0.0001500000,stop,,0
EURUSD,1998-06-01,1998-06-02,1998-06-10,7,-1.0000000000,1.1064000000,1.1065500000,1.0983139929,1.0983139929,1.1230220142,0.0082360071,0.0082360071,0.0001500000,stop,,0
EURUSD,2025-03-28,2025-03-31,2025-04-03,4,2.0000000000,1.0816400000,1.0817900000,1.0979521284,1.0737089358,1.0979521284,0.0080810642,0.0080810642,0.0001500000,target,,0
EURUSD,2025-04-03,2025-04-04,2025-04-04,1,-1.0000000000,1.1050500000,1.1052000000,1.0951547760,1.0951547760,1.1252904480,0.0100452240,0.0100452240,0.0001500000,stop,,0
EURUSD,2025-05-19,2025-05-20,2025-06-05,13,2.0000000000,1.1242700000,1.1244200000,1.1464625363,1.1133987319,1.1464625363,0.0110212681,0.0110212681,0.0001500000,target,,0
EURUSD,2025-06-23,2025-06-24,2025-06-30,5,2.0000000000,1.1578100000,1.1579600000,1.1764302382,1.1487248809,1.1764302382,0.0092351191,0.0092351191,0.0001500000,target,,0
EURUSD,2025-07-21,2025-07-22,2025-07-28,5,-1.0000000000,1.1693000000,1.1694500000,1.1610873208,1.1610873208,1.1861753584,0.0083626792,0.0083626792,0.0001500000,stop,,0
EURUSD,2025-08-06,2025-08-07,2025-09-16,29,2.0000000000,1.1658300000,1.1659800000,1.1843280529,1.1568059735,1.1843280529,0.0091740265,0.0091740265,0.0001500000,target,,0
EURUSD,2025-09-22,2025-09-23,2025-09-25,3,-1.0000000000,1.1802000000,1.1803500000,1.1724772303,1.1724772303,1.1960955395,0.0078727697,0.0078727697,0.0001500000,stop,,0
EURUSD,2025-10-16,2025-10-17,2025-10-21,3,-1.0000000000,1.1689000000,1.1690500000,1.1620774156,1.1620774156,1.1829951687,0.0069725844,0.0069725844,0.0001500000,stop,,0
EURUSD,2026-02-06,2026-02-09,2026-03-02,16,-1.0000000000,1.1816000000,1.1817500000,1.1741790748,1.1741790748,1.1968918504,0.0075709252,0.0075709252,0.0001500000,stop,,0
EURUSD,2026-04-24,2026-04-27,2026-05-15,15,-1.0000000000,1.1708500000,1.1710000000,1.1639402184,1.1639402184,1.1851195633,0.0070597816,0.0070597816,0.0001500000,stop,,0
