pair,signal_date,entry_date,exit_date,bars_held,R,raw_entry,entry,exit,stop,target,ATR14,risk,friction,exit_reason,ADX14,open_at_end
AUDUSD,2003-12-23,2003-12-24,2003-12-31,5,2.0000000000,0.7393000000,0.7394500000,0.7512267428,0.7335616286,0.7512267428,0.0058883714,0.0058883714,0.0001500000,target,,0
AUDUSD,2004-01-20,2004-01-21,2004-01-29,7,-1.0000000000,0.7690000000,0.7691500000,0.7612207215,0.7612207215,0.7850085570,0.0079292785,0.0079292785,0.0001500000,stop,,0
AUDUSD,2004-02-06,2004-02-09,2004-02-11,3,2.0000000000,0.7663000000,0.7664500000,0.7848297289,0.7572601356,0.7848297289,0.0091898644,0.0091898644,0.0001500000,target,,0
AUDUSD,2004-02-24,2004-02-25,2004-02-26,2,-1.0000000000,0.7797000000,0.7798500000,0.7693058647,0.7693058647,0.8009382706,0.0105441353,0.0105441353,0.0001500000,stop,,0
AUDUSD,2004-12-21,2004-12-22,2005-01-07,13,-1.0000000000,0.7661000000,0.7662500000,0.7567943124,0.7567943124,0.7851613752,0.0094556876,0.0094556876,0.0001500000,stop,,0
AUDUSD,2005-01-21,2005-01-24,2005-02-14,16,2.0000000000,0.7700000000,0.7701500000,0.7884730713,0.7609884643,0.7884730713,0.0091615357,0.0091615357,0.0001500000,target,,0
AUDUSD,2005-03-04,2005-03-07,2005-03-22,12,-1.0000000000,0.7895000000,0.7896500000,0.7816031348,0.7816031348,0.8057437303,0.0080468652,0.0080468652,0.0001500000,stop,,0
AUDUSD,2005-09-21,2005-09-22,2005-09-22,1,-1.0000000000,0.7712000000,0.7713500000,0.7650205868,0.7650205868,0.7840088264,0.0063294132,0.0063294132,0.0001500000,stop,,0
AUDUSD,2006-05-25,2006-05-26,2006-05-31,4,-1.0000000000,0.7616000000,0.7617500000,0.7522264631,0.7522264631,0.7807970738,0.0095235369,0.0095235369,0.0001500000,stop,,0
AUDUSD,2006-08-09,2006-08-10,2006-08-18,7,-1.0000000000,0.7646000000,0.7647500000,0.7581082838,0.7581082838,0.7780334323,0.0066417162,0.0066417162,0.0001500000,stop,,0
AUDUSD,2006-08-29,2006-08-30,2006-09-07,7,-1.0000000000,0.7640000000,0.7641500000,0.7580397804,0.7580397804,0.7763704392,0.0061102196,0.0061102196,0.0001500000,stop,,0
AUDUSD,2006-11-16,2006-11-17,2006-11-22,4,2.0000000000,0.7660000000,0.7661500000,0.7763827470,0.7610336265,0.7763827470,0.0051163735,0.0051163735,0.0001500000,target,,0
AUDUSD,2006-12-19,2006-12-20,2007-01-02,8,2.0000000000,0.7839000000,0.7840500000,0.7949274961,0.7786112520,0.7949274961,0.0054387480,0.0054387480,0.0001500000,target,,0
AUDUSD,2007-01-17,2007-01-18,2007-01-24,5,-1.0000000000,0.7867000000,0.7868500000,0.7811473064,0.7811473064,0.7982553872,0.0057026936,0.0057026936,0.0001500000,stop,,0
AUDUSD,2007-02-07,2007-02-08,2007-02-12,3,-1.0000000000,0.7791000000,0.7792500000,0.7740860861,0.7740860861,0.7895778279,0.0051639139,0.0051639139,0.0001500000,stop,,0
AUDUSD,2007-03-12,2007-03-13,2007-03-13,1,-1.0000000000,0.7864000000,0.7865500000,0.7808701474,0.7808701474,0.7979097052,0.0056798526,0.0056798526,0.0001500000,stop,,0
AUDUSD,2007-05-08,2007-05-09,2007-05-17,7,-1.0000000000,0.8279000000,0.8280500000,0.8212141850,0.8212141850,0.8417216299,0.0068358150,0.0068358150,0.0001500000,stop,,0
AUDUSD,2007-05-30,2007-05-31,2007-06-05,4,2.0000000000,0.8232000000,0.8233500000,0.8354581940,0.8172959030,0.8354581940,0.0060540970,0.0060540970,0.0001500000,target,,0
AUDUSD,2007-06-28,2007-06-29,2007-07-02,2,2.0000000000,0.8468000000,0.8469500000,0.8598216703,0.8405141649,0.8598216703,0.0064358351,0.0064358351,0.0001500000,target,,0
AUDUSD,2007-08-08,2007-08-09,2007-08-09,1,-1.0000000000,0.8623000000,0.8624500000,0.8533662616,0.8533662616,0.8806174767,0.0090837384,0.0090837384,0.0001500000,stop,,0
