pair,signal_date,entry_date,exit_date,bars_held,R,raw_entry,entry,exit,stop,target,ATR14,risk,friction,exit_reason,ADX14,open_at_end
EURUSD,1995-02-10,1995-02-13,1995-02-16,4,2.0000000000,1.2417000000,1.2418500000,1.2573924323,1.2340787838,1.2573924323,0.0077712162,0.0077712162,0.0001500000,target,,0
EURUSD,1995-03-31,1995-04-03,1995-04-10,6,-1.0000000000,1.3270000000,1.3271500000,1.3105082615,1.3105082615,1.3604334769,0.0166417385,0.0166417385,0.0001500000,stop,,0
EURUSD,1995-04-13,1995-04-14,1995-05-11,20,-1.0000000000,1.3288000000,1.3289500000,1.3124066398,1.3124066398,1.3620367205,0.0165433602,0.0165433602,0.0001500000,stop,,0
EURUSD,1995-06-29,1995-06-30,1995-07-11,8,-1.0000000000,1.3329000000,1.3330500000,1.3194591824,1.3194591824,1.3602316353,0.0135908176,0.0135908176,0.0001500000,stop,,0
EURUSD,1995-07-13,1995-07-14,1995-08-08,18,-1.0000000000,1.3313000000,1.3314500000,1.3197388071,1.3197388071,1.3548723858,0.0117111929,0.0117111929,0.0001500000,stop,,0
EURUSD,1996-08-21,1996-08-22,1996-08-22,1,-1.0000000000,1.2681000000,1.2682500000,1.2610195295,1.2610195295,1.2827109410,0.0072304705,0.0072304705,0.0001500000,stop,,0
EURUSD,1996-08-23,1996-08-26,1996-09-03,7,-1.0000000000,1.2723000000,1.2724500000,1.2647681147,1.2647681147,1.2878137706,0.0076818853,0.0076818853,0.0001500000,stop,,0
EURUSD,1996-09-04,1996-09-05,1996-09-06,2,-1.0000000000,1.2736000000,1.2737500000,1.2666054014,1.2666054014,1.2880391972,0.0071445986,0.0071445986,0.0001500000,stop,,0
EURUSD,1998-05-20,1998-05-21,1998-05-27,5,-1.0000000000,1.1137000000,1.1138500000,1.1063363484,1.1063363484,1.1288773031,0.0075136516,0.0075136516,0.0001500000,stop,,0
EURUSD,1998-06-01,1998-06-02,1998-06-10,7,-1.0000000000,1.1064000000,1.1065500000,1.0983139929,1.0983139929,1.1230220142,0.0082360071,0.0082360071,0.0001500000,stop,,0
EURUSD,1998-08-04,1998-08-05,1998-08-07,3,-1.0000000000,1.1146000000,1.1147500000,1.1067391353,1.1067391353,1.1307717294,0.0080108647,0.0080108647,0.0001500000,stop,,0
