pair,signal_date,entry_date,exit_date,bars_held,R,raw_entry,entry,exit,stop,target,ATR14,risk,friction,exit_reason,ADX14,open_at_end
GBPUSD,2004-01-20,2004-01-21,2004-01-27,5,-1.0000000000,1.8214000000,1.8215500000,1.8031761347,1.8031761347,1.8582977306,0.0183738653,0.0183738653,0.0001500000,stop,,0
GBPUSD,2004-02-24,2004-02-25,2004-02-26,2,-1.0000000000,1.8910000000,1.8911500000,1.8692958251,1.8692958251,1.9348583498,0.0218541749,0.0218541749,0.0001500000,stop,,0
GBPUSD,2004-03-01,2004-03-02,2004-03-02,1,-1.0000000000,1.8703000000,1.8704500000,1.8489020932,1.8489020932,1.9135458137,0.0215479068,0.0215479068,0.0001500000,stop,,0
GBPUSD,2004-03-22,2004-03-23,2004-03-24,2,-1.0000000000,1.8479000000,1.8480500000,1.8263742738,1.8263742738,1.8914014525,0.0216757262,0.0216757262,0.0001500000,stop,,0
GBPUSD,2004-03-31,2004-04-01,2004-04-02,2,-1.0000000000,1.8465000000,1.8466500000,1.8252788650,1.8252788650,1.8893922699,0.0213711350,0.0213711350,0.0001500000,stop,,0
GBPUSD,2004-04-06,2004-04-07,2004-04-13,5,-1.0000000000,1.8445000000,1.8446500000,1.8223013748,1.8223013748,1.8893472504,0.0223486252,0.0223486252,0.0001500000,stop,,0
GBPUSD,2004-06-15,2004-06-16,2004-06-23,6,-1.0000000000,1.8329000000,1.8330500000,1.8144912762,1.8144912762,1.8701674477,0.0185587238,0.0185587238,0.0001500000,stop,,0
GBPUSD,2004-06-28,2004-06-29,2004-06-29,1,-1.0000000000,1.8297000000,1.8298500000,1.8134599426,1.8134599426,1.8626301147,0.0163900574,0.0163900574,0.0001500000,stop,,0
GBPUSD,2004-07-02,2004-07-05,2004-07-12,6,2.0000000000,1.8314000000,1.8315500000,1.8653372932,1.8146563534,1.8653372932,0.0168936466,0.0168936466,0.0001500000,target,,0
GBPUSD,2004-08-06,2004-08-09,2004-08-10,2,-1.0000000000,1.8434000000,1.8435500000,1.8281999535,1.8281999535,1.8742500929,0.0153500465,0.0153500465,0.0001500000,stop,,0
GBPUSD,2004-08-13,2004-08-16,2004-08-17,2,-1.0000000000,1.8440000000,1.8441500000,1.8285774376,1.8285774376,1.8752951248,0.0155725624,0.0155725624,0.0001500000,stop,,0
GBPUSD,2004-12-27,2004-12-28,2004-12-29,2,-1.0000000000,1.9334000000,1.9335500000,1.9156957410,1.9156957410,1.9692585180,0.0178542590,0.0178542590,0.0001500000,stop,,0
