pair,signal_date,entry_date,exit_date,bars_held,R,raw_entry,entry,exit,stop,target,ATR14,risk,friction,exit_reason,ADX14,open_at_end
USDJPY,2004-05-06,2004-05-07,2004-05-07,1,2.0000000000,109.8800000000,109.8950000000,112.3521078110,108.6664460945,112.3521078110,1.2285539055,1.2285539055,0.0150000000,target,,0
USDJPY,2004-06-14,2004-06-15,2004-06-15,1,-1.0000000000,111.0000000000,111.0150000000,109.6388650280,109.6388650280,113.7672699440,1.3761349720,1.3761349720,0.0150000000,stop,,0
USDJPY,2004-08-10,2004-08-11,2004-08-17,5,-1.0000000000,111.3100000000,111.3250000000,110.2405694444,110.2405694444,113.4938611113,1.0844305556,1.0844305556,0.0150000000,stop,,0
USDJPY,2004-09-22,2004-09-23,2004-10-08,12,-1.0000000000,110.6300000000,110.6450000000,109.7697163617,109.7697163617,112.3955672767,0.8752836383,0.8752836383,0.0150000000,stop,,0
USDJPY,2005-06-09,2005-06-10,2005-06-13,2,2.0000000000,107.4300000000,107.4450000000,108.9686394680,106.6831802660,108.9686394680,0.7618197340,0.7618197340,0.0150000000,target,,0
USDJPY,2005-08-05,2005-08-08,2005-08-10,3,-1.0000000000,112.2100000000,112.2250000000,111.2270187637,111.2270187637,114.2209624725,0.9979812363,0.9979812363,0.0150000000,stop,,0
USDJPY,2005-08-29,2005-08-30,2005-09-01,3,-1.0000000000,110.6600000000,110.6750000000,109.7975211181,109.7975211181,112.4299577639,0.8774788819,0.8774788819,0.0150000000,stop,,0
USDJPY,2006-02-15,2006-02-16,2006-02-23,6,-1.0000000000,117.8400000000,117.8550000000,116.8005713209,116.8005713209,119.9638573582,1.0544286791,1.0544286791,0.0150000000,stop,,0
USDJPY,2006-03-06,2006-03-07,2006-03-17,9,-1.0000000000,117.6200000000,117.6350000000,116.5923092168,116.5923092168,119.7203815664,1.0426907832,1.0426907832,0.0150000000,stop,,0
USDJPY,2006-03-28,2006-03-29,2006-04-05,6,-1.0000000000,117.9300000000,117.9450000000,116.8405875203,116.8405875203,120.1538249593,1.1044124797,1.1044124797,0.0150000000,stop,,0
USDJPY,2006-04-06,2006-04-07,2006-04-19,9,-1.0000000000,117.8200000000,117.8350000000,116.8165423087,116.8165423087,119.8719153826,1.0184576913,1.0184576913,0.0150000000,stop,,0
USDJPY,2006-08-11,2006-08-14,2006-08-17,4,-1.0000000000,116.3500000000,116.3650000000,115.3751880356,115.3751880356,118.3446239288,0.9898119644,0.9898119644,0.0150000000,stop,,0
USDJPY,2006-09-06,2006-09-07,2006-09-18,8,2.0000000000,116.6300000000,116.6450000000,118.2406337883,115.8471831058,118.2406337883,0.7978168942,0.7978168942,0.0150000000,target,,0
USDJPY,2006-09-26,2006-09-27,2006-10-06,8,2.0000000000,117.1100000000,117.1250000000,118.7526495167,116.3111752416,118.7526495167,0.8138247584,0.8138247584,0.0150000000,target,,0
USDJPY,2006-11-06,2006-11-07,2006-11-07,1,-1.0000000000,118.2100000000,118.2250000000,117.4190848339,117.4190848339,119.8368303322,0.8059151661,0.8059151661,0.0150000000,stop,,0
USDJPY,2006-11-13,2006-11-14,2006-11-14,1,-1.0000000000,118.0800000000,118.0950000000,117.2661921934,117.2661921934,119.7526156132,0.8288078066,0.8288078066,0.0150000000,stop,,0
USDJPY,2007-02-02,2007-02-05,2007-02-05,1,-1.0000000000,121.1100000000,121.1250000000,120.3780206812,120.3780206812,122.6189586375,0.7469793188,0.7469793188,0.0150000000,stop,,0
USDJPY,2007-02-07,2007-02-08,2007-02-15,6,-1.0000000000,120.6000000000,120.6150000000,119.8660810629,119.8660810629,122.1128378742,0.7489189371,0.7489189371,0.0150000000,stop,,0
USDJPY,2007-02-21,2007-02-22,2007-02-27,4,-1.0000000000,120.8500000000,120.8650000000,120.0592669753,120.0592669753,122.4764660495,0.8057330247,0.8057330247,0.0150000000,stop,,0
USDJPY,2007-04-20,2007-04-23,2007-05-15,17,2.0000000000,118.7000000000,118.7150000000,120.5374473612,117.8037763194,120.5374473612,0.9112236806,0.9112236806,0.0150000000,target,,0
USDJPY,2007-06-08,2007-06-11,2007-06-14,4,2.0000000000,121.7600000000,121.7750000000,123.0684330300,121.1282834850,123.0684330300,0.6467165150,0.6467165150,0.0150000000,target,,0
USDJPY,2007-07-05,2007-07-06,2007-07-10,3,-1.0000000000,122.9200000000,122.9350000000,122.2828474421,122.2828474421,124.2393051158,0.6521525579,0.6521525579,0.0150000000,stop,,0
USDJPY,2008-07-07,2008-07-08,2008-07-11,4,-1.0000000000,107.1300000000,107.1450000000,106.0995446577,106.0995446577,109.2359106846,1.0454553423,1.0454553423,0.0150000000,stop,,0
USDJPY,2008-07-22,2008-07-23,2008-08-06,11,2.0000000000,107.2400000000,107.2550000000,109.6434091758,106.0607954121,109.6434091758,1.1942045879,1.1942045879,0.0150000000,target,,0
USDJPY,2008-08-22,2008-08-25,2008-08-27,3,-1.0000000000,110.0400000000,110.0550000000,109.0039217155,109.0039217155,112.1571565691,1.0510782845,1.0510782845,0.0150000000,stop,,0
USDJPY,2009-04-30,2009-05-01,2009-05-12,8,-1.0000000000,98.5500000000,98.5650000000,97.2328434037,97.2328434037,101.2293131927,1.3321565963,1.3321565963,0.0150000000,stop,,0
USDJPY,2010-04-20,2010-04-21,2010-05-04,10,2.0000000000,93.2100000000,93.2250000000,94.9197401108,92.3776299446,94.9197401108,0.8473700554,0.8473700554,0.0150000000,target,,0
USDJPY,2012-04-19,2012-04-20,2012-04-26,5,-1.0000000000,81.5800000000,81.5950000000,80.8477274999,80.8477274999,83.0895450002,0.7472725001,0.7472725001,0.0150000000,stop,,0
USDJPY,2012-11-14,2012-11-15,2012-11-15,1,2.0000000000,80.1540000000,80.1690000000,81.1796946571,79.6636526714,81.1796946571,0.5053473286,0.5053473286,0.0150000000,target,,0
USDJPY,2013-02-28,2013-03-01,2013-03-07,5,2.0000000000,92.6130000000,92.6280000000,95.0468894103,91.4185552949,95.0468894103,1.2094447051,1.2094447051,0.0150000000,target,,0
USDJPY,2013-04-04,2013-04-05,2013-04-08,2,2.0000000000,96.3540000000,96.3690000000,98.8029894950,95.1520052525,98.8029894950,1.2169947475,1.2169947475,0.0150000000,target,,0
USDJPY,2013-05-02,2013-05-03,2013-05-09,5,2.0000000000,97.9030000000,97.9180000000,100.2951741325,96.7294129338,100.2951741325,1.1885870662,1.1885870662,0.0150000000,target,,0
USDJPY,2013-05-28,2013-05-29,2013-05-29,1,-1.0000000000,102.2600000000,102.2750000000,101.0410603946,101.0410603946,104.7428792108,1.2339396054,1.2339396054,0.0150000000,stop,,0
USDJPY,2013-07-15,2013-07-16,2013-07-26,9,-1.0000000000,99.9300000000,99.9450000000,98.6259413608,98.6259413608,102.5831172784,1.3190586392,1.3190586392,0.0150000000,stop,,0
USDJPY,2013-08-01,2013-08-02,2013-08-05,2,-1.0000000000,99.5000000000,99.5150000000,98.2913526075,98.2913526075,101.9622947851,1.2236473925,1.2236473925,0.0150000000,stop,,0
USDJPY,2013-09-19,2013-09-20,2013-09-25,4,-1.0000000000,99.3930000000,99.4080000000,98.4013380154,98.4013380154,101.4213239691,1.0066619846,1.0066619846,0.0150000000,stop,,0
USDJPY,2013-09-26,2013-09-27,2013-09-27,1,-1.0000000000,98.9800000000,98.9950000000,98.1004106395,98.1004106395,100.7841787210,0.8945893605,0.8945893605,0.0150000000,stop,,0
USDJPY,2014-01-14,2014-01-15,2014-01-23,7,-1.0000000000,104.2500000000,104.2650000000,103.4375071991,103.4375071991,105.9199856018,0.8274928009,0.8274928009,0.0150000000,stop,,0
USDJPY,2014-10-23,2014-10-24,2014-10-31,6,2.0000000000,108.2900000000,108.3050000000,110.1250477436,107.3949761282,110.1250477436,0.9100238718,0.9100238718,0.0150000000,target,,0
USDJPY,2014-12-17,2014-12-18,2015-01-14,18,-1.0000000000,118.8600000000,118.8750000000,117.3634704804,117.3634704804,121.8980590393,1.5115295196,1.5115295196,0.0150000000,stop,,0
USDJPY,2015-01-20,2015-01-21,2015-01-21,1,-1.0000000000,118.6600000000,118.6750000000,117.3819456220,117.3819456220,121.2611087560,1.2930543780,1.2930543780,0.0150000000,stop,,0
USDJPY,2015-01-29,2015-01-30,2015-02-02,2,-1.0000000000,118.3200000000,118.3350000000,117.0579229351,117.0579229351,120.8891541298,1.2770770649,1.2770770649,0.0150000000,stop,,0
