oos_seq,signal_date,entry_date,exit_date,outcome,r_multiple,cum_R,running_max,drawdown_R
1,2010-10-28,2010-10-29,2010-11-04,target,2.0,2.0,2.0,0.0
2,2010-10-29,2010-11-01,2010-11-09,stop,-1.0,1.0,2.0,-1.0
3,2011-02-18,2011-02-21,2011-02-22,stop,-1.0,0.0,2.0,-2.0
4,2011-02-16,2011-02-17,2011-02-25,target,1.9999999999999838,1.9999999999999838,2.0,-1.6209256159527285e-14
5,2011-02-17,2011-02-18,2011-03-02,target,2.000000000000017,4.000000000000001,4.000000000000001,0.0
6,2011-06-14,2011-06-15,2011-06-15,stop,-1.0,3.000000000000001,4.000000000000001,-1.0
7,2011-08-26,2011-08-29,2011-09-01,stop,-1.0,2.000000000000001,4.000000000000001,-2.0
8,2012-09-27,2012-09-28,2012-10-01,stop,-1.0,1.0000000000000009,4.000000000000001,-3.0
9,2012-10-11,2012-10-12,2012-10-17,target,1.9999999999999782,2.999999999999979,4.000000000000001,-1.0000000000000218
10,2012-10-30,2012-10-31,2012-11-02,stop,-1.0,1.9999999999999791,4.000000000000001,-2.0000000000000218
11,2012-12-11,2012-12-12,2012-12-17,gap_target,2.0889999749446426,4.088999974944622,4.088999974944622,0.0
12,2013-01-07,2013-01-08,2013-01-11,target,2.0,6.088999974944622,6.088999974944622,0.0
13,2013-01-10,2013-01-11,2013-01-25,target,2.000000000000022,8.088999974944645,8.088999974944645,0.0
14,2013-02-12,2013-02-13,2013-02-14,stop,-1.0,7.088999974944645,8.088999974944645,-1.0
15,2013-08-15,2013-08-16,2013-08-29,stop,-1.0,6.088999974944645,8.088999974944645,-2.0
16,2013-10-17,2013-10-18,2013-10-31,stop,-1.0,5.088999974944645,8.088999974944645,-3.0
17,2013-11-22,2013-11-25,2013-12-09,target,2.0,7.088999974944645,8.088999974944645,-1.0
18,2013-11-26,2013-11-27,2013-12-09,target,2.0,9.088999974944645,9.088999974944645,0.0
19,2013-12-05,2013-12-06,2013-12-27,target,2.0,11.088999974944645,11.088999974944645,0.0
20,2014-03-24,2014-03-25,2014-03-25,stop,-1.0,10.088999974944645,11.088999974944645,-1.0
21,2014-04-09,2014-04-10,2014-04-30,stop,-1.0,9.088999974944645,11.088999974944645,-2.0
22,2014-04-28,2014-04-29,2014-04-30,stop,-1.0,8.088999974944645,11.088999974944645,-3.0
23,2015-09-28,2015-09-29,2015-10-14,target,2.0,10.088999974944645,11.088999974944645,-1.0
24,2016-03-10,2016-03-11,2016-03-16,stop,-1.0,9.088999974944645,11.088999974944645,-2.0
25,2016-03-16,2016-03-17,2016-04-07,target,2.0,11.088999974944645,11.088999974944645,0.0
26,2016-04-26,2016-04-27,2016-05-02,target,2.0,13.088999974944645,13.088999974944645,0.0
27,2016-05-11,2016-05-12,2016-05-13,stop,-1.0,12.088999974944645,13.088999974944645,-1.0
28,2017-05-12,2017-05-15,2017-05-16,target,2.000000000000031,14.088999974944677,14.088999974944677,0.0
29,2017-06-23,2017-06-26,2017-06-27,target,2.0000000000000346,16.088999974944713,16.088999974944713,0.0
30,2017-06-27,2017-06-28,2017-07-11,target,2.0,18.088999974944713,18.088999974944713,0.0
