oos_seq,signal_date,entry_date,exit_date,entry_price,stop_price,target_price,exit_price,atr_at_signal,outcome,r_multiple,split,entry_year,exit_year
1,2010-10-28,2010-10-29,2010-11-04,1.3929500000000001,1.376595086791155,1.4256598264176905,1.4256598264176905,0.016354913208845225,target,2.0,train,2010,2010
2,2010-10-29,2010-11-01,2010-11-09,1.39725,1.3810418663060724,1.4296662673878555,1.3810418663060724,0.016208133693927707,stop,-1.0,train,2010,2010
3,2011-02-18,2011-02-21,2011-02-22,1.36915,1.3556204445663511,1.396209110867298,1.3556204445663511,0.013529555433648963,stop,-1.0,train,2011,2011
4,2011-02-16,2011-02-17,2011-02-25,1.3563500000000002,1.3426979712130462,1.3836540575739078,1.3836540575739078,0.013652028786953834,target,1.9999999999999838,train,2011,2011
5,2011-02-17,2011-02-18,2011-03-02,1.3607500000000001,1.347487401840686,1.3872751963186287,1.3872751963186287,0.013262598159314274,target,2.000000000000017,train,2011,2011
6,2011-06-14,2011-06-15,2011-06-15,1.44445,1.4292733798206407,1.4748032403587183,1.4292733798206407,0.015176620179359224,stop,-1.0,train,2011,2011
7,2011-08-26,2011-08-29,2011-09-01,1.4493500000000001,1.4321584883568148,1.4837330232863708,1.4321584883568148,0.017191511643185366,stop,-1.0,train,2011,2011
8,2012-09-27,2012-09-28,2012-10-01,1.29145,1.281240664587428,1.3118686708251444,1.281240664587428,0.010209335412572157,stop,-1.0,train,2012,2012
9,2012-10-11,2012-10-12,2012-10-17,1.29305,1.2828271046990651,1.3134957906018696,1.3134957906018696,0.010222895300934837,target,1.9999999999999782,train,2012,2012
10,2012-10-30,2012-10-31,2012-11-02,1.29675,1.2877068085945684,1.3148363828108631,1.2877068085945684,0.009043191405431583,stop,-1.0,train,2012,2012
11,2012-12-11,2012-12-12,2012-12-17,1.30085,1.2925924604083794,1.3173650791832414,1.3181,0.008257539591620643,gap_target,2.0889999749446426,train,2012,2012
12,2013-01-07,2013-01-08,2013-01-11,1.31265,1.303370520578993,1.3312089588420144,1.3312089588420144,0.009279479421007156,target,2.0,train,2013,2013
13,2013-01-10,2013-01-11,2013-01-25,1.32675,1.3167163205947696,1.3468173588104613,1.3468173588104613,0.010033679405230572,target,2.000000000000022,train,2013,2013
14,2013-02-12,2013-02-13,2013-02-14,1.34525,1.334781537068162,1.366186925863676,1.334781537068162,0.010468462931838025,stop,-1.0,train,2013,2013
