window,anchor_year,train_period,validation_period,test_period,train_trades,train_total_R,train_PF,train_win_rate_pct,train_max_DD_R,val_trades,val_total_R,val_PF,val_win_rate_pct,val_max_DD_R,test_trades,test_total_R,test_PF,test_win_rate_pct,test_max_DD_R
1,2004,2004-2008,2009,2010,25,-0.9909,0.9417,32.0,-9.0,11,4.0,1.6667,45.4545,-2.0,2,1.0,2.0,50.0,-1.0
2,2005,2005-2009,2010,2011,34,5.0091,1.2385,38.2353,-9.0,2,1.0,2.0,50.0,-1.0,5,1.0,1.3333,40.0,-2.0
3,2006,2006-2010,2011,2012,35,4.0091,1.1822,37.1429,-9.0,5,1.0,1.3333,40.0,-2.0,4,2.089,2.0445,50.0,-1.0
4,2007,2007-2011,2012,2013,33,3.0091,1.1433,36.3636,-7.0,4,2.089,2.0445,50.0,-1.0,8,7.0,3.3333,62.5,-3.0
5,2008,2008-2012,2013,2014,28,5.0981,1.2999,39.2857,-4.0,8,7.0,3.3333,62.5,-3.0,3,-3.0,0.0,0.0,-2.0
6,2009,2009-2013,2014,2015,30,15.089,2.0059,50.0,-3.0,3,-3.0,0.0,0.0,-2.0,1,2.0,,100.0,0.0
7,2010,2010-2014,2015,2016,22,8.089,1.6741,45.4545,-3.0,1,2.0,,100.0,0.0,4,2.0,2.0,50.0,-1.0
8,2011,2011-2015,2016,2017,21,9.089,1.8263,47.619,-3.0,4,2.0,2.0,50.0,-1.0,7,8.0,5.0,71.4286,-2.0
9,2012,2012-2016,2017,2018,20,10.089,2.0089,50.0,-3.0,7,8.0,5.0,71.4286,-2.0,8,1.1662,1.2332,37.5,-5.0
10,2013,2013-2017,2018,2019,23,16.0,2.6,56.5217,-3.0,8,1.1662,1.2332,37.5,-5.0,0,0.0,,,0.0
11,2014,2014-2018,2019,2020,23,10.1662,1.8472,47.8261,-5.0,0,0.0,,,0.0,7,-4.0,0.3333,14.2857,-4.0
12,2015,2015-2019,2020,2021,20,13.1662,2.4629,55.0,-5.0,7,-4.0,0.3333,14.2857,-4.0,5,-2.0,0.5,20.0,-2.0
13,2016,2016-2020,2021,2022,26,7.1662,1.4777,42.3077,-9.0,5,-2.0,0.5,20.0,-2.0,0,0.0,,,0.0
14,2017,2017-2021,2022,2023,27,3.1662,1.1862,37.037,-12.0,0,0.0,,,0.0,4,5.0,6.0,75.0,-1.0
15,2018,2018-2022,2023,2024,20,-4.8338,0.6777,25.0,-12.0,4,5.0,6.0,75.0,-1.0,5,1.0,1.3333,40.0,-1.0
16,2019,2019-2023,2024,2025,16,-1.0,0.9091,31.25,-7.0,5,1.0,1.3333,40.0,-1.0,13,11.0,3.2,61.5385,-3.0
