family,experiment,trades,total_R,profit_factor,win_rate_pct,max_drawdown_R,note
A_execution,A-FRIC-0.0pips,115,35.3125,1.5433,43.4783,-12.0,
A_execution,A-FRIC-control,115,32.2644,1.4889,42.6087,-12.0,
A_execution,A-FRIC-3.0pips,115,32.2173,1.4881,42.6087,-12.0,
A_execution,A-FRIC-4.0pips,115,29.1921,1.4357,41.7391,-12.0,
A_execution,A-FRIC-5.0pips,115,26.1668,1.3848,40.8696,-12.0,
A_execution,A-FRIC-6.0pips,115,23.1416,1.3354,40.0,-13.0,
A_execution,A-SLIP-0.5pips,115,32.2483,1.4886,42.6087,-12.0,
A_execution,A-SLIP-1.0pips,115,32.2323,1.4884,42.6087,-12.0,
A_execution,A-SLIP-2.0pips,115,32.2047,1.488,42.6087,-12.0,
B_entry_delay,B-DELAY-1bar,115,20.0381,1.2863,39.1304,-18.0,
B_entry_delay,B-DELAY-2bar,115,2.0,1.0263,33.913,-17.0,
C_exit_stress,C2-STOPSLIP-0.5pips,115,31.6453,1.4767,42.6087,-12.1046,
C_exit_stress,C3-TGTSLIP-0.5pips,115,31.6453,1.4767,42.6087,-12.1046,
C_exit_stress,C2-STOPSLIP-1.0pips,115,31.0263,1.4647,42.6087,-12.2091,
C_exit_stress,C3-TGTSLIP-1.0pips,115,31.0263,1.4647,42.6087,-12.2091,
C_exit_stress,C4-GAPATLEVEL,115,32.0,1.4848,42.6087,-12.0,
