window,test_year,trades,total_R,PF,win_rate_pct,avg_R,maxDD
1,2010,2,1.0,2.0,50.0,0.5,-1.0
2,2011,5,1.0,1.3333,40.0,0.2,-2.0
3,2012,4,2.089,2.0445,50.0,0.5222,-1.0
4,2013,8,7.0,3.3333,62.5,0.875,-3.0
5,2014,3,-3.0,0.0,0.0,-1.0,-2.0
6,2015,1,2.0,,100.0,2.0,0.0
7,2016,4,2.0,2.0,50.0,0.5,-1.0
8,2017,7,8.0,5.0,71.4286,1.1429,-2.0
9,2018,8,1.1662,1.2332,37.5,0.1458,-5.0
10,2019,0,0.0,,,0.0,0.0
11,2020,7,-4.0,0.3333,14.2857,-0.5714,-4.0
12,2021,5,-2.0,0.5,20.0,-0.4,-2.0
13,2022,0,0.0,,,0.0,0.0
14,2023,4,5.0,6.0,75.0,1.25,-1.0
15,2024,5,1.0,1.3333,40.0,0.2,-1.0
16,2025,13,11.0,3.2,61.5385,0.8462,-3.0
