metric,value
largest_winner_R,2.1662
top5_winners_R,10.2644
top10_winners_R,20.2644
gross_profit_R,98.2644
largest_winner_share_pct,2.2045
top5_share_pct,10.4457
top10_share_pct,20.6223
year_2004,-2.0
year_2005,2.0
year_2006,2.0
year_2007,0.0
year_2008,-2.9909
year_2009,4.0
year_2010,1.0
year_2011,1.0
year_2012,2.089
year_2013,7.0
year_2014,-3.0
year_2015,2.0
year_2016,2.0
year_2017,8.0
year_2018,1.1662
year_2020,-4.0
year_2021,-2.0
year_2023,5.0
year_2024,1.0
year_2025,11.0
year_2026,-3.0
quarter_2004Q3,-1.0
quarter_2004Q4,-1.0
quarter_2005Q1,2.0
quarter_2006Q2,4.0
quarter_2006Q3,-1.0
quarter_2006Q4,-1.0
quarter_2007Q1,1.0
quarter_2007Q2,-2.0
quarter_2007Q3,3.0
quarter_2007Q4,-2.0
quarter_2008Q1,-4.0
quarter_2008Q2,-1.0
quarter_2008Q3,2.0091
quarter_2009Q2,-1.0
quarter_2009Q3,5.0
quarter_2009Q4,-0.0
quarter_2010Q4,1.0
quarter_2011Q1,3.0
quarter_2011Q2,-1.0
quarter_2011Q3,-1.0
quarter_2012Q4,2.089
quarter_2013Q1,3.0
quarter_2013Q3,-1.0
quarter_2013Q4,5.0
quarter_2014Q1,-1.0
quarter_2014Q2,-2.0
quarter_2015Q4,2.0
quarter_2016Q1,-1.0
quarter_2016Q2,3.0
quarter_2017Q2,4.0
quarter_2017Q3,4.0
quarter_2017Q4,0.0
quarter_2018Q1,3.1662
quarter_2018Q2,-2.0
quarter_2020Q1,-2.0
quarter_2020Q3,2.0
quarter_2020Q4,-4.0
quarter_2021Q1,-3.0
quarter_2021Q2,1.0
quarter_2023Q1,4.0
quarter_2023Q3,1.0
quarter_2024Q1,-2.0
quarter_2024Q3,3.0
quarter_2025Q2,7.0
quarter_2025Q3,4.0
quarter_2026Q1,-1.0
quarter_2026Q2,-2.0
month_2004-08,-1.0
month_2004-10,-1.0
month_2005-03,2.0
month_2006-04,4.0
month_2006-08,2.0
month_2006-09,-3.0
month_2006-12,-1.0
month_2007-03,1.0
month_2007-05,-1.0
month_2007-06,-1.0
month_2007-07,2.0
month_2007-08,-1.0
month_2007-09,2.0
month_2007-12,-2.0
month_2008-01,-1.0
month_2008-02,-3.0
month_2008-05,-1.0
month_2008-07,2.0091
month_2009-06,-1.0
month_2009-07,-1.0
month_2009-08,4.0
month_2009-09,2.0
month_2009-10,2.0
month_2009-12,-2.0
month_2010-11,1.0
month_2011-02,1.0
month_2011-03,2.0
month_2011-06,-1.0
month_2011-09,-1.0
month_2012-10,1.0
month_2012-11,-1.0
month_2012-12,2.089
month_2013-01,4.0
month_2013-02,-1.0
month_2013-08,-1.0
month_2013-10,-1.0
month_2013-12,6.0
month_2014-03,-1.0
month_2014-04,-2.0
month_2015-10,2.0
month_2016-03,-1.0
month_2016-04,2.0
month_2016-05,1.0
month_2017-05,2.0
month_2017-06,2.0
month_2017-07,2.0
month_2017-08,2.0
month_2017-10,-2.0
month_2017-12,2.0
month_2018-01,2.1662
month_2018-02,3.0
month_2018-03,-2.0
month_2018-04,-2.0
month_2020-01,-2.0
month_2020-07,2.0
month_2020-10,-4.0
month_2021-01,-1.0
month_2021-02,-1.0
month_2021-03,-1.0
month_2021-05,2.0
month_2021-06,-1.0
month_2023-01,2.0
month_2023-03,2.0
month_2023-07,1.0
month_2024-01,-1.0
month_2024-03,-1.0
month_2024-08,2.0
month_2024-09,1.0
month_2025-04,1.0
month_2025-06,6.0
month_2025-07,-1.0
month_2025-08,-1.0
month_2025-09,6.0
month_2026-03,-1.0
month_2026-05,-2.0
