period,start_date,end_date,trading_days,rsi_window,buy_rsi_below,sell_rsi_above,stop_loss_pct,position_sizing,position_sizing_mode,position_sizing_amount,transaction_cost_pct_per_side,slippage_pct_per_side,strategy_final_value,total_return_pct,annualized_return_pct,max_drawdown_pct,completed_trades,win_rate_pct,average_winning_trade_usd,average_losing_trade_usd,profit_factor,largest_losing_streak,exposure_days,exposure_pct,open_shares_at_end,skipped_signals_missing_open,buy_hold_final_value,buy_hold_return_pct,excess_return_vs_buy_hold_pp
full_history,1993-01-29,2026-09-24,8471,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.0,13932.376118,39.32376118,0.99037324,6.3459205,54,46.2962963,252.662175,-82.213043,2.6493633,7,2137,25.2272459,0.0,0,318720.212787,3087.20212787,-3047.87836669
development_70pct,1993-01-29,2016-08-12,5929,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.0,10879.566275,8.79566275,0.35884431,3.09439592,36,44.44444444,105.877871,-40.723983,2.07991189,7,1424,24.0175409,0.0,0,77117.247156,671.17247156,-662.37680881
holdout_30pct,2016-08-15,2026-09-24,2542,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.0,13052.809844,30.52809844,2.67072095,6.87056776,18,50.0,513.612049,-174.410955,2.94483823,4,713,28.04878049,0.0,0,41248.111024,312.48111024,-281.9530118
2010-2015,2010-01-04,2015-12-31,1510,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.0,10516.924283,5.16924283,0.84529273,1.31383687,6,66.66666667,151.816074,-45.170007,6.72198587,2,238,15.7615894,0.0,0,20494.880831,104.94880831,-99.77956548
2016-2020,2016-01-04,2020-12-31,1259,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.0,10786.104576,7.86104576,1.52772234,6.8107466,14,42.85714286,312.013248,-135.746864,1.72386992,4,399,31.6918189,0.0,0,20539.199162,105.39199162,-97.53094586
2021-2026,2021-01-04,2026-09-24,1438,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.0,12360.15022,23.6015022,3.77430639,5.70232743,6,66.66666667,731.257927,-282.440743,5.17813343,1,368,25.59109875,0.0,0,22069.009668,120.69009668,-97.08859448
full_history,1993-01-29,2026-09-24,8471,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.05,12998.1759,29.981759,0.7822914,6.60849466,54,44.44444444,232.695177,-86.216945,2.15915957,7,1971,23.26761894,0.0,0,318401.651855,3084.01651855,-3054.03475955
development_70pct,1993-01-29,2016-08-12,5929,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.05,10855.517059,8.55517059,0.34940807,3.19039239,36,44.44444444,104.960954,-41.19291,2.03842756,7,1424,24.0175409,0.0,0,77040.168448,670.40168448,-661.84651389
holdout_30pct,2016-08-15,2026-09-24,2542,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.05,12142.658841,21.42658841,1.93918888,7.12446619,18,44.44444444,488.163624,-176.265015,2.2155894,4,547,21.51848938,0.0,0,41206.883526,312.06883526,-290.64224686
2010-2015,2010-01-04,2015-12-31,1510,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.05,10510.56526,5.1056526,0.83510662,1.31942763,6,66.66666667,150.452276,-45.621922,6.59561327,2,238,15.7615894,0.0,0,20474.396193,104.74396193,-99.63830933
2016-2020,2016-01-04,2020-12-31,1259,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.05,10761.999859,7.61999859,1.48222206,6.84388142,14,42.85714286,309.782038,-137.086546,1.69481641,4,399,31.6918189,0.0,0,20518.670227,105.18670227,-97.56670369
2021-2026,2021-01-04,2026-09-24,1438,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.05,11471.6387,14.716387,2.42952983,7.58922485,6,50.0,739.855414,-249.309181,2.96762202,2,202,14.0472879,0.0,0,22046.951687,120.46951687,-105.75312987
full_history,1993-01-29,2026-09-24,8471,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.1,12927.000687,29.27000687,0.76584806,6.43040488,54,44.44444444,230.912927,-87.163652,2.11935064,7,1925,22.72458978,0.0,0,318083.409165,3080.83409165,-3051.56408478
development_70pct,1993-01-29,2016-08-12,5929,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.1,10831.462366,8.31462366,0.33994964,3.28828284,36,44.44444444,104.044036,-41.662111,1.99786395,7,1424,24.0175409,0.0,0,76963.166742,669.63166742,-661.31704376
holdout_30pct,2016-08-15,2026-09-24,2542,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.1,12095.538321,20.95538321,1.89998523,6.93456077,18,44.44444444,484.650708,-178.166735,2.17616699,4,501,19.70889064,0.0,0,41165.697215,311.65697215,-290.70158894
2010-2015,2010-01-04,2015-12-31,1510,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.1,10504.205378,5.04205378,0.82491401,1.32502413,6,66.66666667,149.088477,-46.074265,6.47165944,2,238,15.7615894,0.0,0,20453.932019,104.53932019,-99.49726641
2016-2020,2016-01-04,2020-12-31,1259,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.1,10737.887299,7.37887299,1.43662538,6.87716185,14,42.85714286,307.550828,-138.427209,1.66631346,4,399,31.6918189,0.0,0,20498.161801,104.98161801,-97.60274502
2021-2026,2021-01-04,2026-09-24,1438,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.0,0.1,11446.164735,14.46164735,2.38972404,7.16635976,6,50.0,734.398969,-252.344057,2.91030816,2,156,10.84840056,0.0,0,22024.915742,120.24915742,-105.78751008
full_history,1993-01-29,2026-09-24,8471,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.0,13844.664974,38.44664974,0.97142179,6.41443142,54,46.2962963,250.798277,-83.630757,2.585238,7,2137,25.2272459,0.0,0,318401.651855,3084.01651855,-3045.56986881
development_70pct,1993-01-29,2016-08-12,5929,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.0,10850.041632,8.50041632,0.34725687,3.21739788,36,44.44444444,104.960954,-41.466681,2.02496945,7,1424,24.0175409,0.0,0,77040.168448,670.40168448,-661.90126816
holdout_30pct,2016-08-15,2026-09-24,2542,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.0,12994.623342,29.94623342,2.62535111,6.92798225,18,50.0,510.06463,-177.328703,2.87637941,4,713,28.04878049,0.0,0,41206.883526,312.06883526,-282.12260184
2010-2015,2010-01-04,2015-12-31,1510,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.0,10509.707459,5.09707459,0.83373218,1.32362934,6,66.66666667,150.452276,-46.050822,6.53418414,2,238,15.7615894,0.0,0,20474.396193,104.74396193,-99.64688734
2016-2020,2016-01-04,2020-12-31,1259,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.0,10754.160939,7.54160939,1.46740769,6.86961518,14,42.85714286,309.782038,-138.066411,1.68278821,4,399,31.6918189,0.0,0,20518.670227,105.18670227,-97.64509289
2021-2026,2021-01-04,2026-09-24,1438,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.0,12330.671508,23.30671508,3.73098981,5.73562417,6,66.66666667,726.209731,-287.083708,5.0592194,1,368,25.59109875,0.0,0,22046.951687,120.46951687,-97.1628018
full_history,1993-01-29,2026-09-24,8471,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.05,12910.888984,29.10888984,0.76211365,6.70456814,54,44.44444444,230.912986,-87.700756,2.10637169,7,1971,23.26761894,0.0,0,318083.409324,3080.83409324,-3051.7252034
development_70pct,1993-01-29,2016-08-12,5929,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.05,10825.989899,8.25989899,0.33779503,3.31529786,36,44.44444444,104.044063,-41.935755,1.98482774,7,1424,24.0175409,0.0,0,76963.16678,669.6316678,-661.37176882
holdout_30pct,2016-08-15,2026-09-24,2542,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.05,12084.899085,20.84899085,1.89111448,7.21149636,18,44.44444444,484.650831,-179.230757,2.1632485,4,547,21.51848938,0.0,0,41165.697236,311.65697236,-290.80798151
2010-2015,2010-01-04,2015-12-31,1510,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.05,10503.348135,5.03348135,0.82353976,1.32922489,6,66.66666667,149.088515,-46.502962,6.41200075,2,238,15.7615894,0.0,0,20453.932029,104.53932029,-99.50583894
2016-2020,2016-01-04,2020-12-31,1259,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.05,10730.052499,7.30052499,1.4217922,6.90294785,14,42.85714286,307.550906,-139.406617,1.65460711,4,399,31.6918189,0.0,0,20498.161811,104.98161811,-97.68109313
2021-2026,2021-01-04,2026-09-24,1438,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.05,11442.590094,14.42590094,2.38413243,7.66198762,6,50.0,734.399155,-253.535791,2.89662912,2,202,14.0472879,0.0,0,22024.915753,120.24915753,-105.8232566
full_history,1993-01-29,2026-09-24,8471,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.1,12839.706486,28.39706486,0.74556046,6.49981684,54,44.44444444,229.130794,-88.647752,2.06778661,7,1925,22.72458978,0.0,0,317765.484718,3077.65484718,-3049.25778232
development_70pct,1993-01-29,2016-08-12,5929,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.1,10801.93269,8.0193269,0.32831088,3.41641087,36,44.44444444,103.127172,-42.405103,1.94556155,7,1424,24.0175409,0.0,0,76886.242038,668.86242038,-660.84309347
holdout_30pct,2016-08-15,2026-09-24,2542,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.1,12037.773796,20.37773796,1.85173772,6.9923175,18,44.44444444,481.138039,-181.133052,2.12501489,4,501,19.70889064,0.0,0,41124.552091,311.24552091,-290.86778295
2010-2015,2010-01-04,2015-12-31,1510,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.1,10496.987954,4.96987954,0.81334083,1.33482618,6,66.66666667,147.724754,-46.955532,6.29211294,2,238,15.7615894,0.0,0,20433.488308,104.33488308,-99.36500354
2016-2020,2016-01-04,2020-12-31,1259,14,30.0,70.0,5.0,fixed_10_shares,fixed_shares,10.0,0.05,0.1,10705.93622,7.0593622,1.37607982,6.93642723,14,42.85714286,305.319775,-140.747804,1.62695136,4,399,31.6918189,0.0,0,20477.673883,104.77673883,-97.71737663
