evaluation_period,trade_number,side,signal_date,entry_date,entry_price,atr14_on_signal,stop_price,target_price,exit_date,exit_price,exit_reason,units_eur,risk_usd,pnl_usd,r_multiple,duration_sessions,balance_before,balance_after
full_history,1,LONG,2004-02-11,2004-02-12,1.28330171,0.01419579,1.26200802,1.32588909,2004-02-20,1.26200802,stop,469.62267050,10.00000000,-10.00000000,-1.00000000,7,1000.00000000,990.00000000
full_history,2,SHORT,2004-04-05,2004-04-06,1.20179307,0.01502283,1.22432732,1.15672459,2004-05-27,1.22432732,stop,439.33139519,9.90000000,-9.90000000,-1.00000000,38,990.00000000,980.10000000
full_history,3,LONG,2004-06-07,2004-06-08,1.23240733,0.01068339,1.21638225,1.26445750,2004-06-09,1.21638225,stop,611.60370410,9.80100000,-9.80100000,-1.00000000,2,980.10000000,970.29900000
full_history,4,LONG,2004-07-07,2004-07-08,1.23699605,0.01091648,1.22062134,1.26974549,2004-07-23,1.22062134,stop,592.55923938,9.70299000,-9.70299000,-1.00000000,12,970.29900000,960.59601000
full_history,5,LONG,2004-09-21,2004-09-22,1.23289359,0.00923196,1.21904565,1.26058946,2004-10-20,1.26058946,target,693.67448122,9.60596010,19.21192020,2.00000000,21,960.59601000,979.80793020
full_history,6,LONG,2004-10-20,2004-10-21,1.25800407,0.00897739,1.24453799,1.28493623,2004-11-04,1.28493623,target,727.61196013,9.79807930,19.59615860,2.00000000,10,979.80793020,999.40408880
full_history,7,LONG,2004-11-04,2004-11-05,1.28729951,0.01015800,1.27206251,1.31777352,2004-11-24,1.31777352,target,655.90599568,9.99404089,19.98808178,2.00000000,14,999.40408880,1019.39217058
full_history,8,LONG,2004-11-24,2004-11-25,1.31809616,0.00981778,1.30336949,1.34754950,2004-12-23,1.34754950,target,692.20825295,10.19392171,20.38784341,2.00000000,21,1019.39217058,1039.78001399
full_history,9,LONG,2004-12-23,2004-12-24,1.35140610,0.01109359,1.33476571,1.38468687,2005-01-04,1.33476571,stop,624.85333061,10.39780014,-10.39780014,-1.00000000,8,1039.78001399,1029.38221385
full_history,10,SHORT,2005-02-04,2005-02-07,1.28559494,0.01090620,1.30195424,1.25287634,2005-02-15,1.30195424,stop,629.23369416,10.29382214,-10.29382214,-1.00000000,7,1029.38221385,1019.08839171
full_history,11,LONG,2005-03-08,2005-03-09,1.33489966,0.00977431,1.32023820,1.36422259,2005-03-21,1.32023820,stop,695.07971829,10.19088392,-10.19088392,-1.00000000,9,1019.08839171,1008.89750780
full_history,12,SHORT,2005-04-04,2005-04-05,1.28490114,0.01025090,1.30027749,1.25414844,2005-04-18,1.30027749,stop,656.13578765,10.08897508,-10.08897508,-1.00000000,10,1008.89750780,998.80853272
full_history,13,SHORT,2005-05-12,2005-05-13,1.26770031,0.00964708,1.28217093,1.23875908,2005-05-31,1.23875908,target,690.23211773,9.98808533,19.97617065,2.00000000,13,998.80853272,1018.78470337
full_history,14,SHORT,2005-05-31,2005-06-01,1.23099649,0.00967442,1.24550812,1.20197322,2005-06-24,1.20197322,target,702.04689096,10.18784703,20.37569407,2.00000000,18,1018.78470337,1039.16039744
