period,start_date,end_date,trading_days,fast_ma_days,slow_ma_days,position_sizing,position_sizing_mode,position_sizing_amount,transaction_cost_pct_per_side,slippage_pct_per_side,final_portfolio_value,total_return_pct,annualized_return_pct,max_drawdown_pct,completed_trades,win_rate_pct,average_winning_trade_usd,average_losing_trade_usd,profit_factor,largest_losing_streak,exposure_days,exposure_pct,open_shares_at_end,signals_skipped_missing_open,buy_hold_final_value,buy_hold_return_pct,excess_return_vs_buy_hold_pp
full_history,1993-01-29,2026-09-24,8471,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.0,15911.397232,59.11397232,1.38977028,8.21514222,14,78.57142857,428.463522,-127.494611,12.32234765,1,6264,73.94640538,10.0,0,318720.212787,3087.20212787,-3028.08815555
development_70pct,1993-01-29,2016-08-12,5929,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.0,11561.308833,15.61308833,0.61835463,3.09486625,10,80.0,201.520437,-65.478263,12.31067704,1,4124,69.55641761,10.0,0,77117.247156,671.17247156,-655.55938322
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.0,13841.829971,38.41829971,3.26860033,9.8256448,3,66.66666667,1256.287478,-251.527306,9.98927313,1,1553,61.09362707,10.0,0,41248.111024,312.48111024,-274.06281053
2010-2015,2010-01-04,2015-12-31,1510,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.0,10590.351492,5.90351492,0.96254088,1.95753754,2,100.0,296.583193,,inf,0,1138,75.36423841,10.0,0,20494.880831,104.94880831,-99.0452934
2016-2020,2016-01-04,2020-12-31,1259,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.0,10902.681676,9.02681676,1.74663363,9.30694362,2,50.0,588.360291,-251.527306,2.33915077,1,1048,83.2406672,10.0,0,20539.199162,105.39199162,-96.36517486
2021-2026,2021-01-04,2026-09-24,1438,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.0,12920.916699,29.20916699,4.58249958,9.2707271,1,100.0,1340.134379,,inf,0,869,60.43115438,10.0,0,22069.009668,120.69009668,-91.48092969
full_history,1993-01-29,2026-09-24,8471,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.05,15883.010745,58.83010745,1.38439035,8.22008754,14,78.57142857,426.941842,-129.083476,12.12745014,1,6264,73.94640538,10.0,0,318401.651855,3084.01651855,-3025.18641109
development_70pct,1993-01-29,2016-08-12,5929,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.05,11550.455337,15.50455337,0.61433923,3.12499406,10,80.0,200.687375,-66.664657,12.04160551,1,4124,69.55641761,10.0,0,77040.168448,670.40168448,-654.89713111
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.05,13824.551109,38.24551109,3.25583998,9.82333556,3,66.66666667,1252.285656,-253.921115,9.86358033,1,1553,61.09362707,10.0,0,41206.883526,312.06883526,-273.82332417
2010-2015,2010-01-04,2015-12-31,1510,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.05,10586.435745,5.86435745,0.95630536,1.9569739,2,100.0,295.483266,,inf,0,1138,75.36423841,10.0,0,20474.396193,104.74396193,-98.87960448
2016-2020,2016-01-04,2020-12-31,1259,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.05,10895.037418,8.95037418,1.73233655,9.30635526,2,50.0,586.289951,-253.921115,2.30894525,1,1048,83.2406672,10.0,0,20518.670227,105.18670227,-96.23632809
2021-2026,2021-01-04,2026-09-24,1438,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.05,12909.515051,29.09515051,4.5663581,9.2698502,1,100.0,1335.61414,,inf,0,869,60.43115438,10.0,0,22046.951687,120.46951687,-91.37436636
full_history,1993-01-29,2026-09-24,8471,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.1,15854.624258,58.54624258,1.37900108,8.22504377,14,78.57142857,425.420162,-130.672342,11.9372922,1,6264,73.94640538,10.0,0,318083.409165,3080.83409165,-3022.28784907
development_70pct,1993-01-29,2016-08-12,5929,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.1,11539.601841,15.39601841,0.61032022,3.15516012,10,80.0,199.854313,-67.851051,11.78194355,1,4124,69.55641761,10.0,0,76963.166742,669.63166742,-654.23564901
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.1,13807.272248,38.07272248,3.24306524,9.82102509,3,66.66666667,1248.283834,-256.314924,9.7402353,1,1553,61.09362707,10.0,0,41165.697215,311.65697215,-273.58424968
2010-2015,2010-01-04,2015-12-31,1510,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.1,10582.519999,5.82519999,0.95006791,1.95641002,2,100.0,294.383338,,inf,0,1138,75.36423841,10.0,0,20453.932019,104.53932019,-98.7141202
2016-2020,2016-01-04,2020-12-31,1259,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.1,10887.39316,8.8739316,1.71803144,9.30576638,2,50.0,584.219611,-256.314924,2.27930392,1,1048,83.2406672,10.0,0,20498.161801,104.98161801,-96.10768641
2021-2026,2021-01-04,2026-09-24,1438,50,200,fixed_10_shares,fixed_shares,10.0,0.0,0.1,12898.113404,28.98113404,4.55020486,9.26897258,1,100.0,1331.093901,,inf,0,869,60.43115438,10.0,0,22024.915742,120.24915742,-91.26802339
full_history,1993-01-29,2026-09-24,8471,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.0,15883.010745,58.83010745,1.38439035,8.22008754,14,78.57142857,426.941842,-129.083476,12.12745014,1,6264,73.94640538,10.0,0,318401.651855,3084.01651855,-3025.18641109
development_70pct,1993-01-29,2016-08-12,5929,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.0,11550.455337,15.50455337,0.61433923,3.12499406,10,80.0,200.687375,-66.664657,12.04160551,1,4124,69.55641761,10.0,0,77040.168448,670.40168448,-654.89713111
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.0,13824.551109,38.24551109,3.25583998,9.82333556,3,66.66666667,1252.285656,-253.921115,9.86358033,1,1553,61.09362707,10.0,0,41206.883526,312.06883526,-273.82332417
2010-2015,2010-01-04,2015-12-31,1510,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.0,10586.435745,5.86435745,0.95630536,1.9569739,2,100.0,295.483266,,inf,0,1138,75.36423841,10.0,0,20474.396193,104.74396193,-98.87960448
2016-2020,2016-01-04,2020-12-31,1259,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.0,10895.037418,8.95037418,1.73233655,9.30635526,2,50.0,586.289951,-253.921115,2.30894525,1,1048,83.2406672,10.0,0,20518.670227,105.18670227,-96.23632809
2021-2026,2021-01-04,2026-09-24,1438,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.0,12909.515051,29.09515051,4.5663581,9.2698502,1,100.0,1335.61414,,inf,0,869,60.43115438,10.0,0,22046.951687,120.46951687,-91.37436636
full_history,1993-01-29,2026-09-24,8471,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.05,15854.625736,58.54625736,1.37900136,8.2250454,14,78.57142857,425.420269,-130.672374,11.93729229,1,6264,73.94640538,10.0,0,318083.409324,3080.83409324,-3022.28783588
development_70pct,1993-01-29,2016-08-12,5929,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.05,11539.602232,15.39602232,0.61032036,3.15516078,10,80.0,199.854363,-67.851067,11.78194368,1,4124,69.55641761,10.0,0,76963.16678,669.6316678,-654.23564549
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.05,13807.273208,38.07273208,3.24306595,9.82102742,3,66.66666667,1248.284149,-256.314987,9.74023536,1,1553,61.09362707,10.0,0,41165.697236,311.65697236,-273.58424028
2010-2015,2010-01-04,2015-12-31,1510,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.05,10582.520146,5.82520146,0.95006815,1.95641048,2,100.0,294.383413,,inf,0,1138,75.36423841,10.0,0,20453.932029,104.53932029,-98.71411883
2016-2020,2016-01-04,2020-12-31,1259,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.05,10887.393386,8.87393386,1.71803187,9.30576847,2,50.0,584.219758,-256.314987,2.27930393,1,1048,83.2406672,10.0,0,20498.161811,104.98161811,-96.10768426
2021-2026,2021-01-04,2026-09-24,1438,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.05,12898.114134,28.98114134,4.55020589,9.26897449,1,100.0,1331.094236,,inf,0,869,60.43115438,10.0,0,22024.915753,120.24915753,-91.26801619
full_history,1993-01-29,2026-09-24,8471,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.1,15826.240727,58.26240727,1.373603,8.23001422,14,78.57142857,423.898696,-132.261271,11.75170331,1,6264,73.94640538,10.0,0,317765.484718,3077.65484718,-3019.39243991
development_70pct,1993-01-29,2016-08-12,5929,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.1,11528.749126,15.28749126,0.60629787,3.18536584,10,80.0,199.021351,-69.037478,11.53120644,1,4124,69.55641761,10.0,0,76886.242038,668.86242038,-653.57492912
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.1,13789.995307,37.89995307,3.23027752,9.81871805,3,66.66666667,1244.282641,-258.708859,9.61917305,1,1553,61.09362707,10.0,0,41124.552091,311.24552091,-273.34556784
2010-2015,2010-01-04,2015-12-31,1510,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.1,10578.604547,5.78604547,0.94382902,1.95584682,2,100.0,293.28356,,inf,0,1138,75.36423841,10.0,0,20433.488308,104.33488308,-98.54883761
2016-2020,2016-01-04,2020-12-31,1259,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.1,10879.749353,8.79749353,1.70371915,9.30518116,2,50.0,582.149565,-258.708859,2.25021117,1,1048,83.2406672,10.0,0,20477.673883,104.77673883,-95.9792453
2021-2026,2021-01-04,2026-09-24,1438,50,200,fixed_10_shares,fixed_shares,10.0,0.05,0.1,12886.713217,28.86713217,4.5340419,9.26809807,1,100.0,1326.574333,,inf,0,869,60.43115438,10.0,0,22002.901834,120.02901834,-91.16188617
full_history,1993-01-29,2026-09-24,8471,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.0,15854.624258,58.54624258,1.37900108,8.22504377,14,78.57142857,425.420162,-130.672342,11.9372922,1,6264,73.94640538,10.0,0,318083.409165,3080.83409165,-3022.28784907
development_70pct,1993-01-29,2016-08-12,5929,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.0,11539.601841,15.39601841,0.61032022,3.15516012,10,80.0,199.854313,-67.851051,11.78194355,1,4124,69.55641761,10.0,0,76963.166742,669.63166742,-654.23564901
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.0,13807.272248,38.07272248,3.24306524,9.82102509,3,66.66666667,1248.283834,-256.314924,9.7402353,1,1553,61.09362707,10.0,0,41165.697215,311.65697215,-273.58424968
2010-2015,2010-01-04,2015-12-31,1510,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.0,10582.519999,5.82519999,0.95006791,1.95641002,2,100.0,294.383338,,inf,0,1138,75.36423841,10.0,0,20453.932019,104.53932019,-98.7141202
2016-2020,2016-01-04,2020-12-31,1259,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.0,10887.39316,8.8739316,1.71803144,9.30576638,2,50.0,584.219611,-256.314924,2.27930392,1,1048,83.2406672,10.0,0,20498.161801,104.98161801,-96.10768641
2021-2026,2021-01-04,2026-09-24,1438,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.0,12898.113404,28.98113404,4.55020486,9.26897258,1,100.0,1331.093901,,inf,0,869,60.43115438,10.0,0,22024.915742,120.24915742,-91.26802339
full_history,1993-01-29,2026-09-24,8471,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.05,15826.240727,58.26240727,1.373603,8.23001422,14,78.57142857,423.898696,-132.261271,11.75170331,1,6264,73.94640538,10.0,0,317765.484718,3077.65484718,-3019.39243991
development_70pct,1993-01-29,2016-08-12,5929,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.05,11528.749126,15.28749126,0.60629787,3.18536584,10,80.0,199.021351,-69.037478,11.53120644,1,4124,69.55641761,10.0,0,76886.242038,668.86242038,-653.57492912
holdout_30pct,2016-08-15,2026-09-24,2542,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.05,13789.995307,37.89995307,3.23027752,9.81871805,3,66.66666667,1244.282641,-258.708859,9.61917305,1,1553,61.09362707,10.0,0,41124.552091,311.24552091,-273.34556784
2010-2015,2010-01-04,2015-12-31,1510,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.05,10578.604547,5.78604547,0.94382902,1.95584682,2,100.0,293.28356,,inf,0,1138,75.36423841,10.0,0,20433.488308,104.33488308,-98.54883761
2016-2020,2016-01-04,2020-12-31,1259,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.05,10879.749353,8.79749353,1.70371915,9.30518116,2,50.0,582.149565,-258.708859,2.25021117,1,1048,83.2406672,10.0,0,20477.673883,104.77673883,-95.9792453
2021-2026,2021-01-04,2026-09-24,1438,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.05,12886.713217,28.86713217,4.5340419,9.26809807,1,100.0,1326.574333,,inf,0,869,60.43115438,10.0,0,22002.901834,120.02901834,-91.16188617
full_history,1993-01-29,2026-09-24,8471,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.1,15797.857196,57.97857196,1.36819553,8.23499567,14,71.42857143,464.6734,-100.533767,11.55515741,1,6264,73.94640538,10.0,0,317447.877878,3074.47877878,-3016.50020682
development_70pct,1993-01-29,2016-08-12,5929,50,200,fixed_10_shares,fixed_shares,10.0,0.1,0.1,11517.89641,15.1789641,0.60227189,3.21560996,10,70.0,226.584512,-47.010758,11.24630236,1,4124,69.55641761,10.0,0,76809.394181,668.09394181,-652.91497771
